decompose,00399980,subj
decompose,00210263,subj
decrease,00151509,subj
decrease,00442400,dobj
deep-six,02227776,dobj
de-escalate,00291745,subj
de-escalate,00291502,dobj
defang,00197466,dobj
defeat,01110559,dobj
defeat,02479111,dobj
defect,02590182,dobj
defend,01093838,pobj_against
defer,02648898,dobj
deflagrate,00586225,subj
deflagrate,02778268,dobj
deflate,00857916,dobj
deflate,00563380,dobj
deflect,02458770,dobj
deflect,01149526,dobj
deflect,02037650,pobj_from
deflower,00478872,dobj
defuse,01140122,dobj
defy,02713660,dobj
defy,02712676,dobj
degenerate,00092045,subj
degrade,00208136,dobj
degrade,01310556,dobj
delay,00460731,dobj
delay,02648041,dobj
delay,00461855,dobj
delay,00441241,dobj
delete,01551969,dobj
delete,01001860,dobj
deliver,02240011,dobj
dematerialise,00345146,subj
dematerialize,00345146,subj
demolish,01660001,dobj
demolish,01660252,dobj
demoralise,02585532,dobj
demoralize,02585532,dobj
demur,00809603,pobj_at
deny,00818217,comp
deny,00818664,dobj
deny,02217856,dobj
deny,02218972,dobj
deny,00818828,dobj
deny,02217607,dobj
depart,01852660,dobj
depart,01852660,pobj_from
depart,02012411,dobj
depart,02012411,pobj_from
depart,02388582,dobj
depart,02388582,pobj_from
deplete,01159815,dobj
deport,02504961,dobj
depose,02410394,dobj
deprave,02585532,dobj
depress,01977946,dobj
depress,01577754,dobj
depress,00225864,dobj
deprive,02318230,pobj_of
deprive,02319255,pobj_of
deprive,00172745,pobj_of
deracinate,01569697,dobj
derange,00277400,dobj
descend,01974840,subj
desecrate,02573980,dobj
desert,00615748,dobj
desert,02590182,dobj
desert,01846309,dobj
desist,01198570,pobj_from
desolate,00615748,dobj
desolate,00389306,dobj
destabilise,00272976,subj
destabilise,00272510,dobj
destabilize,00272976,subj
destabilize,00272510,dobj
destroy,01622948,dobj
destroy,01566925,dobj
destroy,01329210,dobj
destruct,01623725,dobj
destruct,01622948,dobj
detach,01301254,dobj
detach,01302344,subj
detain,00461855,dobj
detain,00460731,dobj
deteriorate,00208905,subj
deteriorate,00092045,subj
deter,00910052,dobj
deter,00772186,pobj_from
deterge,01395692,pobj_of
detract,00533195,pobj_from
devastate,00389306,dobj
devastate,00261197,dobj
deviate,02068815,pobj_from
devitalise,00166760,dobj
devitalize,00166760,dobj
devolve,00092045,subj
devour,01568141,dobj
die away,00245945,subj
die back,00242912,subj
die down,00242912,subj
die down,00224594,subj
die out,00428636,subj
die off,00428636,subj
die,00359085,subj
die,00435327,subj
die,00355499,subj
dilapidate,01666329,dobj
dilapidate,00209244,subj
dilly-dally,02648322,dobj
dillydally,02648322,dobj
diminish,00151509,subj
diminish,00442836,dobj
dim,00314386,subj
dim,02166741,dobj
dim,00314265,dobj
dim,00313060,dobj
dip,00433014,subj
dip,02041990,subj
dip,02166741,dobj
dip,02044954,dobj
disable,00513267,dobj
disable,00091720,dobj
disallow,00797525,comp
disallow,00797525,dobj
disappear,00427911,subj
disappear,02160976,subj
disappear,00428350,subj
disappear,00224354,subj
disarm,01834387,dobj
disarm,01090416,dobj
disarticulate,01297235,dobj
disassemble,01661660,dobj
disband,02034812,dobj
disband,02033789,subj
disburden,01490553,pobj_from
disburden,01490553,pobj_of
discard,02227100,dobj
discerp,01575341,dobj
discharge,02427126,pobj_from
discharge,00905999,pobj_of
discharge,00104622,dobj
disconnect,01424071,dobj
disconnect,01358741,dobj
discontinue,02686624,comp
discontinue,02686624,dobj
discontinue,00363001,comp
discontinue,00363001,dobj
discontinue,02689663,subj
discount,00802592,dobj
discountenance,00734860,dobj
discourage,00910052,dobj
disdain,00798638,dobj
disembarrass,02355171,pobj_of
disembroil,02683880,dobj
disembroil,02683880,pobj_from
disenable,00513267,dobj
disencumber,01588680,pobj_of
disengage,01514012,dobj
disengage,01514012,pobj_from
disentangle,01588680,pobj_from
disentangle,02683880,pobj_from
disintegrate,00398482,subj
disintegrate,00399980,subj
disintegrate,00400274,dobj
disinvest,02390514,pobj_of
disinvolve,02683880,pobj_from
disjoint,01297235,dobj
disjoint,01296999,dobj
disjoint,01296785,subj
disjoin,01296999,dobj
disjoin,01296785,subj
dislodge,01531310,dobj
dislodge,01530296,dobj
dismantle,01665698,dobj
dismantle,01661660,dobj
dismantle,00194878,pobj_of
dismember,01575341,dobj
dismiss,00802592,dobj
dismiss,00803288,dobj
dismiss,02471362,dobj
dismiss,02407967,dobj
dismiss,00902491,dobj
dismiss,00339369,dobj
disown,00759589,dobj
dispatch,02488014,dobj
dispatch,01327810,dobj
dispel,02006752,dobj
dispel,02034269,dobj
dispense with,02539728,dobj
dispense with,02308215,dobj
disperse,02034269,dobj
displace,02411141,dobj
displace,02407967,dobj
dispose,02227100,pobj_of
disprove,00669342,dobj
disqualify,00302119,dobj
disqualify,00302119,pobj_for
disqualify,00302119,pobj_from
disqualify,00974640,dobj
disqualify,00974640,pobj_for
disqualify,00974640,pobj_from
disregard,00802592,dobj
disregard,00618547,dobj
disregard,01061436,dobj
disrupt,00780320,dobj
disrupt,00521437,dobj
dissipate,02034269,dobj
dissolve,00448726,subj
dissolve,00356457,subj
dissolve,02033789,subj
dissolve,00448905,dobj
dissolve,00356609,dobj
dissolve,00339369,dobj
dissuade,00772186,pobj_from
disturb,00260641,dobj
disturb,00521099,dobj
disunify,00369315,dobj
ditch,02233050,dobj
ditch,02232144,dobj
ditch,02229727,dobj
dive,01971380,subj
divert,02068815,pobj_from
divest,02390514,pobj_of
divest,02319255,pobj_of
dodge,02100772,dobj
dodge,00811316,dobj
do in,01329983,dobj
douse,02766453,dobj
downsize,02408915,dobj
downsize,00587808,dobj
down,01105747,dobj
down,01242426,dobj
drain,01160320,pobj_of
drain,00390309,dobj
draw back,01998474,pobj_from
draw out,01353852,dobj
drift,01929647,pobj_from
drive away,02006752,dobj
drive back,01133623,dobj
drive off,02006752,dobj
drive out,02006752,dobj
drive,01508789,dobj
drop away,00204753,subj
drop down,01989937,subj
drop off,00152707,subj
drop off,01116231,subj
drop off,00204753,subj
drop,01989937,subj
drop,00092045,subj
drop,02409062,dobj
drop,00363763,dobj
drop,02471362,dobj
drop,00617306,dobj
drop,00616690,dobj
drop,01260866,dobj
drop,01516062,dobj
drum out,02406951,dobj
duck,00811316,dobj
dull,02195757,dobj
dull,00392374,dobj
dull,01248885,dobj
dull,01249008,dobj
dull,00392673,subj
dull,02119756,subj
dump,02229986,dobj
dump,01981094,subj
dump,02229727,dobj
dwindle away,00268567,subj
dwindle down,00268567,subj
dwindle,00268567,subj
ease off,00156293,subj
ease off,00156084,dobj
ease,00082061,dobj
ease,01819152,dobj
ease up,00156293,subj
ease up,00156084,dobj
eat away,00275523,dobj
eat away,00275523,pobj_at
eat away,00275432,dobj
eat away,00275432,pobj_at
eat up,01159815,dobj
eat,01159815,dobj
eat,00275082,dobj
ebb,00571984,subj
efface,00312120,dobj
efface,01551500,dobj
egest,00072742,dobj
eject,00104622,dobj
eject,01471205,dobj
elide,00617112,dobj
eliminate,00472642,dobj
eliminate,02635337,dobj
eliminate,00471632,dobj
eliminate,00687320,dobj
eliminate,00072742,dobj
eliminate,01105250,dobj
eliminate,00576638,dobj
elucidate,00941888,dobj
elude,02078305,subj
elude,02078305,dobj
elude,00811316,dobj
emasculate,00543033,dobj
embarrass,02563025,dobj
empty,02080923,dobj
empty,01490942,dobj
encroach,02575705,pobj_on
encroach,02575705,pobj_upon
encroach,01997384,pobj_on
encroach,01997384,pobj_upon
encumber,01303637,dobj
endanger,02702962,dobj
endanger,01038191,dobj
end,02615799,subj
end,00353480,dobj
end,01623891,dobj
enfeeble,00390309,dobj
enfranchise,02482558,pobj_from
entrench,02575705,pobj_on
entrench,02575705,pobj_upon
eradicate,00471632,dobj
eradicate,01666012,dobj
erase,00480322,dobj
erase,01551500,dobj
erase,01001860,dobj
erode,00276052,subj
erode,00275523,dobj
err,01929647,pobj_from
escape,00812219,dobj
escape,02078906,pobj_from
escape from,02077473,pobj_from
eschew,00813811,dobj
etiolate,00226116,dobj
evade,00811316,dobj
evade,02374810,dobj
evade,00812701,dobj
evade,02078305,subj
evade,02078305,dobj
evanesce,00422644,subj
evaporate,00224354,subj
evaporate,00576797,subj
evaporate,00577047,dobj
even off,02678329,dobj
even out,02678329,dobj
even up,02678329,dobj
evict,01470687,dobj
exchange,02262575,dobj
except,00809603,pobj_at
except,00617464,dobj
excise,01552202,dobj
excise,00473802,dobj
exclude,00617464,dobj
exclude,02454205,dobj
exclude,02639795,dobj
exclude,00798250,dobj
exclude,01471205,dobj
excrete,00072742,dobj
exculpate,00905999,pobj_of
excuse,00895399,pobj_from
exempt,02570061,pobj_from
exempt,00895399,pobj_from
exfiltrate,02078726,pobj_from
exfiltrate,02078726,pobj_out of
exfiltrate,02078605,pobj_from
exfiltrate,02078605,pobj_out of
exhaust,01159815,dobj
exhaust,02285714,dobj
exhaust,00451952,dobj
exhaust,00104622,dobj
exile,02504961,dobj
exit,02019450,dobj
exit,01081082,dobj
exit,00359085,subj
exonerate,00905999,pobj_of
exorcise,01530665,dobj
exorcize,01530665,dobj
expatriate,02504961,dobj
expel,02507387,dobj
expel,02406951,dobj
expel,01111362,dobj
expel,00104622,dobj
expend,01160888,dobj
expiate,02526175,dobj
expire,02690607,subj
expire,00359085,subj
explode,00307505,dobj
explode,01568576,dobj
explode,00667253,dobj
expose,01038191,dobj
expose,00854877,dobj
expunge,01552202,dobj
extenuate,00907990,dobj
exterminate,01330264,dobj
exterminate,01666012,dobj
extinguish,00479613,dobj
extinguish,00479148,dobj
extinguish,02767855,dobj
extinguish,00472642,dobj
extinguish,00471632,dobj
extirpate,01666012,dobj
extirpate,01569697,dobj
extirpate,00176337,dobj
extract,01353852,dobj
extricate,01588680,pobj_from
fade away,00448726,subj
fade out,00448726,subj
fade,00225077,subj
fade,00422644,subj
fade,00422870,subj
fail,02534950,comp
fail,02605525,comp
fail,01803246,subj
fail,00435327,subj
fail,00561324,subj
fail,02534046,subj
fail,00172922,subj
fail,02527985,dobj
fail,02527985,pobj_in
fail,02529450,dobj
fall,01974840,subj
fall apart,01372011,subj
fall apart,00398311,subj
fall apart,00334996,subj
fall away,00148292,subj
fall away,00204753,subj
fall back,02001894,subj
fall back,01116231,subj
fall back,01908113,subj
fall behind,01116231,subj
fall behind,02001894,subj
fall in,01993067,subj
fall off,00433792,subj
fall off,01302626,subj
fall off,00148292,subj
fall out,02102203,subj
fall through,02535669,subj
fall,02534651,subj
fall,02626293,subj
fall,00151509,subj
fall,02390295,subj
fall,00342969,subj
falter,02746079,subj
fell,01260866,dobj
fend off,02458770,dobj
ferment,00459426,subj
fettle,02370585,dobj
fiddle,02469127,dobj
fight back,01094695,pobj_against
fight back,01093838,dobj
fight down,01093838,dobj
fight off,01133623,dobj
fight,01093838,dobj
figure out,00636568,dobj
filter out,01461293,dobj
filter,01461293,dobj
filtrate,01461293,dobj
finish off,00485823,dobj
finish up,00485823,dobj
finish,00485097,dobj
finish,02615799,subj
finish,00352617,pobj_with
fire,02407967,dobj
fire,00379335,dobj
fizzle out,02689494,subj
fizzle,02689494,subj
flag,00156293,subj
fleet,00422644,subj
fling,02227100,dobj
flop,02535669,subj
flop,01976767,subj
flout,00803444,dobj
flub,02533317,dobj
fluff,02533317,dobj
fly,00152881,subj
foil,02563998,dobj
fold,02431242,subj
fold,02431242,dobj
forbear,02731919,dobj
forbear,02731589,comp
forbear,02731589,pobj_from
forbid,00797525,comp
forbid,00797525,dobj
forbid,02458316,dobj
force back,01508789,dobj
force out,02407967,dobj
force out,02410394,dobj
force out,01470687,dobj
foreclose,02458316,dobj
forefend,02458770,dobj
forego,02539728,dobj
forego,02308311,dobj
forestall,02458316,dobj
foreswear,02539728,dobj
foreswear,02232269,dobj
forfeit,02308311,dobj
forfend,02458770,dobj
forgo,02539728,dobj
forgo,02308311,dobj
forget,00611721,dobj
forget,00616520,comp
forget,00614532,dobj
forget,00610654,dobj
forsake,00615748,dobj
forswear,00800379,dobj
foul up,02533317,dobj
founder,02535669,subj
founder,01993067,subj
fracture,01624121,dobj
fracture,00336176,subj
fragmentise,00338881,subj
